"","Codigo_nacional","Estación","Latitud","Longitud","Altura","Region","Macrozona","Comuna","Cuenca","Subcuenca"
"482","07335004-2","Quella DGA",-36.0572,-72.0892,132,"Región del Maule","Centro","Cauquenes","Rio Maule","Perquilauquen Alto"
"483","07336003-K","El alamo DGA",-36.1128,-72.4214,189,"Región del Maule","Centro","Cauquenes","Rio Maule","Perquilauquen Alto"
"484","07337002-7","Tutuven embalse DGA",-35.8967,-72.3736,175,"Región del Maule","Centro","Cauquenes","Rio Maule","Perquilauquen Alto"
"485","07340002-3","La estrella DGA",-35.7825,-72.1869,200,"Región del Maule","Centro","Cauquenes","Costeras Maule y Limite Region","Rio Reloca"
"486","07340003-1","Los huinganes en curipeumo DGA",-35.9844,-71.9122,141,"Región del Maule","Centro","Retiro","Rio Maule","Perquilauquen Bajo"
"487","07341002-9","Nirivilo DGA",-35.5389,-72.0914,199,"Región del Maule","Centro","San Javier","Rio Maule","Perquilauquen Bajo"
"488","07342002-4","Huerta del maule DGA",-35.6614,-71.9461,215,"Región del Maule","Centro","San Javier","Rio Maule","Perquilauquen Bajo"
"489","07345001-2","Parral DGA",-36.1878,-71.8283,175,"Región del Maule","Centro","Parral","Rio Maule","Perquilauquen Alto"
"490","07350001-K","Rio longavi en la quiriquina DGA",-36.2303,-71.4569,460,"Región del Maule","Centro","Parral","Rio Maule","Rio Loncomilla"
"491","07350006-0","Bullileo embalse DGA",-36.285,-71.4142,598,"Región del Maule","Centro","Parral","Rio Maule","Rio Loncomilla"
"492","07350007-9","Bullileo embalse lago DGA",-36.285,-71.4142,598,"Región del Maule","Centro","Parral","Rio Maule","Rio Loncomilla"
"493","07352002-9","La sexta de longavi DGA",-36.1128,-71.6156,240,"Región del Maule","Centro","Longaví","Rio Maule","Rio Loncomilla"
"494","07352003-7","Liguay DGA",-35.9478,-71.6842,141,"Región del Maule","Centro","Longaví","Rio Maule","Rio Loncomilla"
"495","07353001-6","Juan amigo DGA",-36.0758,-71.3908,407,"Región del Maule","Centro","Linares","Rio Maule","Rio Loncomilla"
"496","07355002-5","Rio ancoa en el morro DGA",-35.9086,-71.2981,422,"Región del Maule","Centro","Linares","Rio Maule","Rio Loncomilla"
"497","07355006-8","Hornillo DGA",-35.8672,-71.1172,800,"Región del Maule","Centro","Colbún","Rio Maule","Rio Loncomilla"
"498","07355007-6","Ancoa embalse DGA",-35.9106,-71.2958,435,"Región del Maule","Centro","Linares","Rio Maule","Rio Loncomilla"
"499","07357003-4","Melozal DGA",-35.7856,-71.7664,106,"Región del Maule","Centro","Linares","Rio Maule","Rio Loncomilla"
"500","07358006-4","Santa barbara linares DGA",-35.84,-71.6228,153,"Región del Maule","Centro","Linares","Rio Maule","Rio Loncomilla"
"501","07358007-2","Linares DGA",-35.8381,-71.5953,158,"Región del Maule","Centro","Linares","Rio Maule","Rio Loncomilla"
"502","07358008-0","Colbun maule sur DGA",-35.6242,-71.4022,286,"Región del Maule","Centro","Colbún","Rio Maule","Maule Medio"
"503","07359001-9","Rio loncomilla en las brisas DGA",-35.6169,-71.7678,80,"Región del Maule","Centro","San Javier","Rio Maule","Rio Loncomilla"
"504","07359005-1","San javier DGA",-35.595,-71.6572,135,"Región del Maule","Centro","San Javier","Rio Maule","Rio Loncomilla"
"505","07370001-9","Fundo el radal DGA",-35.4189,-71.0431,677,"Región del Maule","Centro","Molina","Rio Maule","Rio Claro"
"506","07371002-2","Agua fria DGA",-35.3131,-71.0983,569,"Región del Maule","Centro","Molina","Rio Maule","Rio Claro"
"507","07373003-1","El guindo DGA",-35.2578,-71.3239,253,"Región del Maule","Centro","Rio Claro","Rio Maule","Rio Claro"
"508","07373004-K","San rafael DGA",-35.3064,-71.5233,152,"Región del Maule","Centro","San Rafael","Rio Maule","Rio Claro"
"509","07374004-5","Vilches alto DGA",-35.5931,-71.0869,1064,"Región del Maule","Centro","San Clemente","Rio Maule","Rio Claro"
"510","07374005-3","Huapi DGA",-35.4864,-71.2931,248,"Región del Maule","Centro","San Clemente","Rio Maule","Rio Claro"
"511","07374006-1","Las lomas DGA",-35.4728,-71.2133,298,"Región del Maule","Centro","San Clemente","Rio Maule","Rio Claro"
"512","07376002-K","El durazno DGA",-35.4925,-71.3183,282,"Región del Maule","Centro","San Clemente","Rio Maule","Rio Claro"
"513","07378002-0","Talca u c DGA",-35.4358,-71.6197,130,"Región del Maule","Centro","Talca","Rio Maule","Rio Claro"
"514","07378003-9","Colorado DGA",-35.6381,-71.2606,450,"Región del Maule","Centro","San Clemente","Rio Maule","Rio Claro"
"515","07378004-7","Talca DGA",-35.4194,-71.6606,105,"Región del Maule","Centro","Talca","Rio Maule","Rio Claro"
"516","07379002-6","Rio claro en rauquen DGA",-35.4525,-71.7333,73,"Región del Maule","Centro","Maule","Rio Maule","Rio Claro"
"517","07381002-7","Fundo el peral DGA",-35.4006,-71.7833,112,"Región del Maule","Centro","Pencahue","Rio Maule","Maule Bajo"
"518","07381003-5","Pencahue DGA",-35.3725,-71.8325,55,"Región del Maule","Centro","Pencahue","Rio Maule","Rio Claro"
"519","07383001-K","Rio maule en forel DGA",-35.4069,-72.2083,46,"Región del Maule","Centro","Constitución","Rio Maule","Maule Bajo"
"520","07384002-3","Constitucion DGA",-35.3242,-72.4089,11,"Región del Maule","Centro","Constitución","Rio Maule","Maule Bajo"
"521","08000000-6","Quirihue DGA",-36.28,-72.54,278,"Región del Ñuble","Centro","Quirihue","Costeras Limite Octava R.-Rio Itata","Costeras entre Limite Region y Rio Taucu (Incl.)"
"522","08104001-K","Rio sauces antes junta con nuble DGA",-36.67,-71.28,620,"Región del Ñuble","Centro","San Fabián","Rio Itata","Rio Nuble Alto (hasta bajo junta Estero Pangue)"
"523","08105003-1","La punilla DGA",-36.6583,-71.3278,855,"Región del Ñuble","Centro","San Fabián","Rio Itata","Ñuble Alto"
"524","08105004-K","Caracol DGA",-36.6511,-71.395,600,"Región del Ñuble","Centro","San Fabián","Rio Itata","Ñuble Alto"
"525","08105005-8","Caman DGA",-36.6731,-71.2989,671,"Región del Ñuble","Centro","San Fabián","Rio Itata","Ñuble Alto"
"526","08106002-9","Rio nuble en san fabian n 2 DGA",-36.5856,-71.5256,449,"Región del Ñuble","Centro","San Fabián","Rio Itata","Ñuble Alto"
"527","08106003-7","San fabian DGA",-36.5836,-71.5247,465,"Región del Ñuble","Centro","San Fabián","Rio Itata","Ñuble Alto"
"528","08113001-9","Coihueco embalse DGA",-36.6408,-71.7989,317,"Región del Ñuble","Centro","Coihueco","Rio Itata","Ñuble Bajo"
"529","08117002-9","Chillan viejo DGA",-36.6319,-72.1267,112,"Región del Ñuble","Centro","Chillán Viejo","Rio Itata","Ñuble Bajo"
"530","08117003-7","Chillan sendos DGA",-36.6147,-72.1,125,"Región del Ñuble","Centro","Chillán","Rio Itata","Ñuble Bajo"
"531","08117006-1","Rio chillan en esperanza n 2 DGA",-36.8,-71.6608,586,"Región del Ñuble","Centro","Pinto","Rio Itata","Ñuble Bajo"
"532","08117009-6","Canal de la luz en chillan DGA",-36.5967,-72.1003,129,"Región del Ñuble","Centro","Chillán","Rio Itata","Ñuble Bajo"
"533","08118003-2","Millauquen DGA",-36.3183,-72.04,152,"Región del Ñuble","Centro","San Carlos","Rio Itata","Ñuble Bajo"
"534","08118004-0","San agustin de punual DGA",-36.4214,-72.3944,95,"Región del Ñuble","Centro","Ninhue","Rio Itata","Itata Bajo"
"535","08118007-5","San carlos DGA",-36.43,-71.95,403,"Región del Ñuble","Centro","San Carlos","Rio Itata","Rio Nuble Bajo (bajo junta E Pangue y Rio Itata)"
"536","08122002-6","Trupan DGA",-37.2806,-71.8228,474,"Región del Bío-Bío","Centro","Tucapel","Rio Itata","Rio Itata Alto (Hasta Rio Diguillin)"
"537","08122003-4","Tucapel DGA",-37.2936,-71.9519,343,"Región del Bío-Bío","Centro","Tucapel","Rio Bio-Bio","Laja Bajo"
"538","08123004-8","Cholguan DGA",-37.1528,-72.0669,228,"Región del Ñuble","Centro","Yungay","Rio Itata","Rio Itata Alto (Hasta Rio Diguillin)"
"539","08124003-5","General cruz DGA",-36.9319,-72.3528,125,"Región del Ñuble","Centro","Pemuco","Rio Itata","Rio Itata Alto (Hasta Rio Diguillin)"
"540","08124004-3","Las cruces DGA",-37.1114,-71.765,466,"Región del Ñuble","Centro","Yungay","Rio Itata","Rio Itata Alto (Hasta Rio Diguillin)"
"541","08124005-1","Mayulermo DGA",-36.8189,-71.8944,375,"Región del Ñuble","Centro","San Ignacio","Rio Itata","Itata Medio"
"542","08130002-K","Rio diguillin en san lorenzo atacalco DGA",-36.9244,-71.5756,722,"Región del Ñuble","Centro","Pinto","Rio Itata","Itata Medio"
"543","08130003-8","Fundo atacalco DGA",-36.9175,-71.5814,737,"Región del Ñuble","Centro","Pinto","Rio Itata","Itata Medio"
"544","08130004-6","Las trancas DGA",-36.9108,-71.4792,1249,"Región del Ñuble","Centro","Pinto","Rio Itata","Itata Medio"
"545","08130006-2","Diguillin DGA",-36.8686,-71.6425,680,"Región del Ñuble","Centro","Pinto","Rio Itata","Itata Medio"
"546","08130007-0","San lorenzo DGA",-36.9247,-71.5756,719,"Región del Ñuble","Centro","Pinto","Rio Itata","Itata Medio"
"547","08131002-5","Fundo bella rosa DGA",-36.8672,-72.0667,226,"Región del Ñuble","Centro","San Ignacio","Rio Itata","Itata Medio"
"548","08132002-0","Pemuco DGA",-36.9764,-72.1008,195,"Región del Ñuble","Centro","Pemuco","Rio Itata","Itata Medio"
"549","08133003-4","Chillancito DGA",-36.7622,-72.4239,62,"Región del Ñuble","Centro","Quillón","Rio Itata","Itata Medio"
"550","08134006-4","Bulnes DGA",-36.74,-72.3,581,"Región del Ñuble","Centro","Bulnes","Rio Itata","Rio Itata Medio (Entre Rio Renegado y Rio Nuble)"
"551","08135003-5","Nueva aldea DGA",-36.6544,-72.4561,40,"Región del Ñuble","Centro","Ránquil","Rio Itata","Itata Medio"
"552","08135004-3","Cancha los litres DGA",-36.7078,-72.5794,195,"Región del Ñuble","Centro","Quillón","Rio Itata","Itata Medio"
"553","08140001-6","Rafael DGA",-36.6364,-72.8489,300,"Región del Bío-Bío","Centro","Tomé","Costeras e Islas entre Rio Itata y Rio Bio-Bio","Costeras entre Rio Pingueral Y Rio Andalien"
"554","08140005-9","Portezuelo DGA",-36.5275,-72.4283,137,"Región del Ñuble","Centro","Portezuelo","Rio Itata","Itata Bajo"
"555","08141001-1","Rio itata en coelemu DGA",-36.4669,-72.6911,34,"Región del Ñuble","Centro","Treguaco","Rio Itata","Itata Bajo"
"556","08141002-K","Coelemu DGA",-36.475,-72.6883,48,"Región del Ñuble","Centro","Treguaco","Rio Itata","Itata Bajo"
"557","08142001-7","Mangarral DGA",-36.2353,-72.3428,138,"Región del Maule","Centro","Cauquenes","Rio Itata","Itata Bajo"
"558","08210002-4","Dichato DGA",-36.5456,-72.9311,11,"Región del Bío-Bío","Centro","Tomé","Costeras e Islas entre Rio Itata y Rio Bio-Bio","Costeras entre Rio Pingueral Y Rio Andalien"
"559","08210003-2","Estero bellavista en tome DGA",-36.6394,-72.9503,13,"Región del Bío-Bío","Centro","Tomé","Costeras e Islas entre Rio Itata y Rio Bio-Bio","Costeras entre Rio Pingueral Y Rio Andalien"
"560","08220005-3","NO SABEMOS2",-36.7925,-72.8922,215,"Región del Bío-Bío","Centro","Concepción","Costeras e Islas entre Rio Itata y Rio Bio-Bio","Rio Andalien"
"561","08220006-1","Andalien DGA",-36.8131,-72.9392,36,"Región del Bío-Bío","Centro","Concepción","Costeras e Islas entre Rio Itata y Rio Bio-Bio","Rio Andalien"
"562","08220008-8","Estero nonguen frente u del bio bio DGA",-36.8203,-73.0164,19,"Región del Bío-Bío","Centro","Concepción","Costeras e Islas entre Rio Itata y Rio Bio-Bio","Rio Andalien"
"563","08301001-0","Liucura DGA",-38.6517,-71.0919,1031,"Región de La Araucanía","Centro","Lonquimay","Rio Bio-Bio","Rio Bio-Bio Alto (Hasta despues junta Rio Lamin)"
"564","08304004-1","Lonquimay DGA",-38.4536,-71.3742,930,"Región de La Araucanía","Centro","Lonquimay","Rio Bio-Bio","Rio Bio-Bio Alto (Hasta despues junta Rio Lamin)"
"565","08307002-1","Rio bio bio en llanquen DGA",-38.2008,-71.2989,746,"Región de La Araucanía","Centro","Lonquimay","Rio Bio-Bio","Rio Bio-Bio Alto (Hasta despues junta Rio Lamin)"
"566","08312002-9","Embalse ralco DGA",-38.0583,-71.4344,756,"Región del Bío-Bío","Centro","Alto Biobío","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"567","08313002-4","Embalse pangue DGA",-37.9183,-71.5961,518,"Región del Bío-Bío","Centro","Alto Biobío","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"568","08316001-2","Quillaileo DGA",-37.6511,-71.7136,453,"Región del Bío-Bío","Centro","Santa Bárbara","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"569","08316002-0","Rio huequecura aguas arriba de embalse angostura DGA",-37.7047,-71.7683,328,"Región del Bío-Bío","Centro","Santa Bárbara","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"570","08317001-8","Rio biobio en rucalhue DGA",-37.7106,-71.9017,263,"Región del Bío-Bío","Centro","Santa Bárbara","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"571","08317003-4","Cerro el padre DGA",-37.7797,-71.8664,342,"Región del Bío-Bío","Centro","Quilaco","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"572","08317004-2","Rio biobio en la culebra DGA",-37.7964,-71.6989,345,"Región del Bío-Bío","Centro","Santa Bárbara","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"573","08317005-0","Rio biobio en puente piulo DGA",-37.7092,-71.8236,289,"Región del Bío-Bío","Centro","Quilaco","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"574","08318002-1","Quilaco DGA",-37.685,-72.0058,234,"Región del Bío-Bío","Centro","Quilaco","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"575","08319001-9","Rio biobio en longitudinal DGA",-37.6019,-72.2783,132,"Región del Bío-Bío","Centro","Mulchén","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"576","08319002-7","San carlos de puren DGA",-37.5953,-72.2769,154,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"577","08320001-4","San lorenzo en bio bio DGA",-37.5081,-71.7656,478,"Región del Bío-Bío","Centro","Quilleco","Rio Bio-Bio","Rio Duqueco"
"578","08323001-0","Rio duqueco en cerrillos DGA",-37.5422,-72.3119,129,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"579","08324001-6","Duqueco DGA",-37.5336,-72.3322,134,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Duqueco"
"580","08330002-7","Pilguen DGA",-37.8306,-72.2197,265,"Región del Bío-Bío","Centro","Mulchén","Rio Bio-Bio","Rio Bio-Bio entre Rio Duqueco y Rio Vergara"
"581","08332002-8","Mulchen DGA",-37.7147,-72.2436,137,"Región del Bío-Bío","Centro","Mulchén","Rio Bio-Bio","Rio Bio-Bio entre Rio Duqueco y Rio Vergara"
"582","08333002-3","San jose de munilque DGA",-37.5858,-72.3206,121,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Bio-Bio entre Rio Ranquil y Rio Duqueco"
"583","08334001-0","Rio biobio en coihue DGA",-37.5503,-72.5903,62,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Bio-Bio entre Rio Duqueco y Rio Vergara"
"584","08334002-9","Los angeles DGA",-37.5022,-72.4083,125,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Duqueco"
"585","08341003-5","El morro DGA",-37.9972,-71.9972,316,"Región del Bío-Bío","Centro","Mulchén","Rio Bio-Bio","Rio Renaico"
"586","08343001-K","Rio mininco en longitudinal DGA",-37.8636,-72.3942,131,"Región de La Araucanía","Centro","Collipulli","Rio Bio-Bio","Rio Renaico"
"587","08343002-8","Encimar malleco DGA",-38.1053,-72.1136,525,"Región de La Araucanía","Centro","Collipulli","Rio Bio-Bio","Rio Renaico"
"588","08350002-6","Laguna malleco DGA",-38.2156,-71.8106,897,"Región de La Araucanía","Centro","Curacautín","Rio Bio-Bio","Rios Malleco y Vergara"
"589","08351001-3","Rio malleco en collipulli DGA",-37.9647,-72.4361,160,"Región de La Araucanía","Centro","Collipulli","Rio Bio-Bio","Rios Malleco y Vergara"
"590","08351003-K","Collipulli DGA",-37.9583,-72.4256,263,"Región de La Araucanía","Centro","Collipulli","Rio Bio-Bio","Rios Malleco y Vergara"
"591","08353001-4","Ercilla vida nueva DGA",-38.0442,-72.4611,251,"Región de La Araucanía","Centro","Ercilla","Rio Bio-Bio","Rios Malleco y Vergara"
"592","08358002-K","Angol la mona DGA",-37.7794,-72.6372,114,"Región de La Araucanía","Centro","Angol","Rio Bio-Bio","Rios Malleco y Vergara"
"593","08358003-8","El vergel angol DGA",-37.8172,-72.65,82,"Región de La Araucanía","Centro","Angol","Rio Bio-Bio","Rios Malleco y Vergara"
"594","08358004-6","Poco a poco DGA",-37.88,-71.9867,647,"Región del Bío-Bío","Centro","Mulchén","Rio Bio-Bio","Rio Bio-Bio entre Rio Duqueco y Rio Vergara"
"595","08358005-4","Parque nahuelbuta DGA",-37.8233,-72.9606,1182,"Región de La Araucanía","Centro","Angol","Rio Bio-Bio","Rios Malleco y Vergara"
"596","08364001-4","Las achiras DGA",-37.3806,-72.3661,138,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Bio-Bio entre Rio Vergara y Rio Laja"
"597","08366002-3","Estero quilque en los angeles DGA",-37.4561,-72.3272,143,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Rio Bio-Bio entre Rio Vergara y Rio Laja"
"598","08367001-0","Laja DGA",-37.2772,-72.7164,58,"Región del Bío-Bío","Centro","Laja","Rio Bio-Bio","Rio Bio-Bio entre Rio Vergara y Rio Laja"
"599","08380001-1","Rio laja en tucapel DGA",-37.2836,-71.9836,293,"Región del Bío-Bío","Centro","Quilleco","Rio Bio-Bio","Laja Bajo"
"600","08381003-3","Rio laja ag arr del salto rec r laja DGA",-37.2119,-72.3242,144,"Región del Bío-Bío","Centro","Los Ángeles","Rio Bio-Bio","Laja Bajo"
"601","08393002-0","Estero hualqui en desembocadura DGA",-36.9825,-72.9414,30,"Región del Bío-Bío","Centro","Hualqui","Rio Bio-Bio","Rio Bio-Bio Bajo"
"602","08394001-8","Rio biobio en desembocadura DGA",-36.8386,-73.0619,7,"Región del Bío-Bío","Centro","Concepción","Rio Bio-Bio","Rio Bio-Bio Bajo"
"603","08394006-9","Cerro verde DGA",-36.8161,-73.0722,25,"Región del Bío-Bío","Centro","Concepción","Rio Bio-Bio","Rio Bio-Bio Bajo"
"604","08410001-3","Concepcion DGA",-36.8333,-73.1,18,"Región del Bío-Bío","Centro","San Pedro de la Paz","Rio Bio-Bio","Rio Bio-Bio Bajo"
"605","08410002-1","Concepcion edif mop DGA",-36.8172,-73.0333,19,"Región del Bío-Bío","Centro","Concepción","Rio Bio-Bio","Rio Bio-Bio Bajo"
"606","08520000-3","Caranpangue DGA",-37.2553,-73.2431,13,"Región del Bío-Bío","Centro","Arauco","Rio Carampangue","Rio Lia"
"607","08700001-K","Curanilahue DGA",-37.485,-73.3317,143,"Región del Bío-Bío","Centro","Curanilahue","Rio Lebu","Rio Curanilahue"
"608","08700002-8","Rio curanilahue en curanilahue DGA",-37.4833,-73.3369,169,"Región del Bío-Bío","Centro","Curanilahue","Rio Lebu","Rio Curanilahue"
"609","08700003-6","Estero plegarias antes de jta rio curanilahue DGA",-37.4878,-73.3442,141,"Región del Bío-Bío","Centro","Curanilahue","Rio Lebu","Rio Curanilahue"
"610","08821005-0","Canete DGA",-37.7983,-73.3914,71,"Región del Bío-Bío","Centro","Cañete","Costeras Lebu-Paicavi","Rio Paicavi"
"611","08821006-9","Rio leiva en puente camino a contulmo DGA",-37.8131,-73.3922,34,"Región del Bío-Bío","Centro","Cañete","Costeras Lebu-Paicavi","Rio Paicavi"
"612","08822008-0","Contulmo DGA",-38.0186,-73.23,49,"Región del Bío-Bío","Centro","Contulmo","Costeras Lebu-Paicavi","Rio Paicavi"
"613","08930000-2","Tirua DGA",-38.3433,-73.4922,10,"Región del Bío-Bío","Centro","Tirúa","Costeras e Islas entre R.Paicavi y Limite Region","Rio Tirua"
"614","09101001-1","Rio puren en tranaman DGA",-38.0333,-73.0167,81,"Región de La Araucanía","Centro","Purén","Rio Imperial","Rio Lumaco"
"615","09101003-8","Tranaman DGA",-38.0214,-73.0067,78,"Región de La Araucanía","Centro","Purén","Rio Imperial","Rio Lumaco"
"616","09102003-3","Lumaco DGA",-38.1636,-72.9039,66,"Región de La Araucanía","Centro","Lumaco","Rio Imperial","Rio Lumaco"
"617","09104003-4","Las mercedes victoria DGA",-38.2461,-72.2289,423,"Región de La Araucanía","Centro","Victoria","Rio Imperial","Rio Lumaco"
"618","09105002-1","Traiguen DGA",-38.2561,-72.6536,234,"Región de La Araucanía","Centro","Traiguén","Rio Imperial","Rio Lumaco"
"619","09111002-4","Quillen DGA",-38.4642,-72.3867,280,"Región de La Araucanía","Centro","Perquenco","Rio Imperial","R.  Chol Chol"
"620","09112000-3","Perquenco DGA",-38.4211,-72.3775,304,"Región de La Araucanía","Centro","Perquenco","Rio Imperial","R.  Chol Chol"
"621","09113003-3","Galvarino DGA",-38.4133,-72.7772,53,"Región de La Araucanía","Centro","Galvarino","Rio Imperial","R.  Chol Chol"
"622","09114001-2","La cabana DGA",-38.4942,-73.2408,639,"Región de La Araucanía","Centro","Carahue","Rio Imperial","R.  Chol Chol"
"623","09116001-3","Rio cholchol en cholchol DGA",-38.6081,-72.8478,24,"Región de La Araucanía","Centro","Cholchol","Rio Imperial","R.  Chol Chol"
"624","09116002-1","Cholchol DGA",-38.6039,-72.8456,37,"Región de La Araucanía","Centro","Cholchol","Rio Imperial","R.  Chol Chol"
"625","09120002-3","Manzanar DGA",-38.4631,-71.6992,807,"Región de La Araucanía","Centro","Curacautín","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"626","09120003-1","Malalcahuello DGA",-38.4703,-71.5753,959,"Región de La Araucanía","Centro","Curacautín","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"627","09122001-6","Curacautin DGA",-38.4475,-71.8961,544,"Región de La Araucanía","Centro","Curacautín","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"628","09122003-2","Tolhuaca DGA",-38.2358,-71.7197,1381,"Región de La Araucanía","Centro","Curacautín","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"629","09123001-1","Rio cautin en rari ruca DGA",-38.4303,-72.0106,424,"Región de La Araucanía","Centro","Curacautín","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"630","09123002-K","Rari ruca DGA",-38.425,-72.0106,441,"Región de La Araucanía","Centro","Curacautín","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"631","09124001-7","Lautaro DGA",-38.5186,-72.4522,255,"Región de La Araucanía","Centro","Lautaro","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"632","09129002-2","Rio cautin en cajon DGA",-38.6867,-72.5028,139,"Región de La Araucanía","Centro","Padre Las Casas","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"633","09129004-9","Cerro nielol DGA",-38.7283,-72.5928,207,"Región de La Araucanía","Centro","Temuco","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"634","09129005-7","Pueblo nuevo temuco DGA",-38.7128,-72.5558,123,"Región de La Araucanía","Centro","Temuco","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"635","09129006-5","Temuco centro DGA",-38.7425,-72.59,124,"Región de La Araucanía","Centro","Temuco","Rio Imperial","Cautin Alto (hasta antes junta R. Quepe)"
"636","09130001-K","Cherquenco DGA",-38.6839,-72,519,"Región de La Araucanía","Centro","Vilcún","Rio Imperial","Rio Quepe"
"637","09131002-3","Vilcun DGA",-38.6672,-72.2339,293,"Región de La Araucanía","Centro","Vilcún","Rio Imperial","Rio Quepe"
"638","09135002-5","Freire DGA",-38.9553,-72.6206,109,"Región de La Araucanía","Centro","Freire","Rio Tolten","Tolten Bajo"
"639","09135003-3","Freire sendos DGA",-38.9592,-72.6083,105,"Región de La Araucanía","Centro","Freire","Rio Tolten","Tolten Bajo"
"640","09135004-1","Freire campamento fiscal DGA",-38.9667,-72.6264,102,"Región de La Araucanía","Centro","Freire","Rio Tolten","Tolten Bajo"
"641","09140001-4","Rio cautin en almagro DGA",-38.78,-72.9469,21,"Región de La Araucanía","Centro","Nueva Imperial","Rio Imperial","Rio Cautin entre Rio Quepe y Rio Chol-Chol"
"642","09140002-2","Almagro DGA",-38.7775,-72.9506,25,"Región de La Araucanía","Centro","Nueva Imperial","Rio Imperial","Rio Cautin entre Rio Quepe y Rio Chol-Chol"
"643","09151001-4","Carahue DGA",-38.7128,-73.1475,82,"Región de La Araucanía","Centro","Carahue","Rio Imperial","Rio Imperial"
"644","09153001-5","Puerto saavedra DGA",-38.7886,-73.3936,5,"Región de La Araucanía","Centro","Saavedra","Rio Imperial","Rio Imperial"
"645","09400000-9","Rio truful en camino internacional DGA",-38.8444,-71.6536,520,"Región de La Araucanía","Centro","Melipeuco","Rio Tolten","Rio Allipen"
"646","09401001-2","Tricauco DGA",-38.8506,-71.55,531,"Región de La Araucanía","Centro","Melipeuco","Rio Tolten","Rio Allipen"
"647","09402001-8","Rio allipen en melipeuco DGA",-38.8653,-71.7336,451,"Región de La Araucanía","Centro","Melipeuco","Rio Tolten","Rio Allipen"
"648","09403001-3","Cunco DGA",-38.9269,-72.0125,380,"Región de La Araucanía","Centro","Cunco","Rio Tolten","Rio Allipen"
"649","09404001-9","Rio allipen en los laureles DGA",-38.9833,-72.2333,253,"Región de La Araucanía","Centro","Cunco","Rio Tolten","Rio Allipen"
"650","09404002-7","Los laureles DGA",-38.9586,-72.2006,266,"Región de La Araucanía","Centro","Cunco","Rio Tolten","Rio Allipen"
"651","09404003-5","Quecheregua DGA",-39.0006,-72.0667,363,"Región de La Araucanía","Centro","Cunco","Rio Tolten","Rio Allipen"
"652","09405001-4","Rio curaco en colico DGA",-39.0333,-72.0833,397,"Región de La Araucanía","Centro","Cunco","Rio Tolten","Rio Allipen"
"653","09412002-0","Curarrehue DGA",-39.3581,-71.5744,433,"Región de La Araucanía","Centro","Curarrehue","Rio Tolten","Rio Pucon"
"654","09412003-9","Puesco aduana DGA",-39.5192,-71.5478,632,"Región de La Araucanía","Centro","Curarrehue","Rio Tolten","Rio Pucon"
"655","09414002-1","Llafenco DGA",-39.3314,-71.8083,369,"Región de La Araucanía","Centro","Pucón","Rio Tolten","Rio Pucon"
"656","09416002-2","Lago tinquilco DGA",-39.1667,-71.7231,792,"Región de La Araucanía","Centro","Pucón","Rio Tolten","Rio Pucon"
"657","09417001-K","Lago caburgua DGA",-39.2,-71.8089,486,"Región de La Araucanía","Centro","Pucón","Rio Tolten","Rio Pucon"
"658","09417002-8","Ojos del caburgua DGA",-39.2367,-71.8356,314,"Región de La Araucanía","Centro","Pucón","Rio Tolten","Rio Pucon"
